"Sl. No. (Col.1)","Category (Col.2)","State/UT (Col.3)","Un-Married - Male (Col.4)","Un-Married - Female (Col.5)","Un-Married - Transgender (Col.6)","Un-Married - Total (Col.7)","Married - Male (Col.8)","Married - Female (Col.9)","Married - Transgender (Col.10)","Married - Total (Col.11)","Widowed/Widower - Male (Col.12)","Widowed/Widower - Female (Col.13)","Widowed/Widower - Transgender (Col.14)","Widowed/Widower - Total (Col.15)","Divorcee - Male (Col.16)","Divorcee - Female (Col.17)","Divorcee - Transgender (Col.18)","Divorcee - Total (Col.19)","Separated - Male (Col.20)","Separated - Female (Col.21)","Separated - Transgender (Col.22)","Separated - Total (Col.23)","Others - Male (Col.24)","Others - Female (Col.25)","Others - Transgender (Col.26)","Others - Total (Col.27)","Status Not Known - Male (Col.28)","Status Not Known - Female (Col.29)","Status Not Known - Transgender (Col.30)","Status Not Known - Total (Col.31)","Total - Male (Col.32)","Total - Female (Col.33)","Total - Transgender (Col.34)","Total(Col.34)"
"1","State","ANDHRA PRADESH","651","359","0","1010","2824","1172","0","3996","78","87","0","165","23","6","0","29","57","23","0","80","25","10","0","35","649","262","0","911","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","23","22","0","45","31","13","0","44","1","0","0","1","0","0","0","0","0","0","0","0","17","8","0","25","17","3","0","20","89","46","0","135"
"3","State","ASSAM","604","273","0","877","1677","572","0","2249","20","9","0","29","15","9","0","24","23","0","0","23","9","0","0","9","16","4","0","20","2364","867","0","3231"
"4","State","BIHAR","123","98","0","221","129","102","0","231","0","1","0","1","0","1","0","1","0","1","0","1","13","9","0","22","25","14","0","39","290","226","0","516"
"5","State","CHHATTISGARH","1041","566","0","1607","3198","1284","0","4482","123","55","0","178","48","18","0","66","33","30","0","63","106","22","0","128","425","168","1","594","4974","2143","1","7118"
"6","State","GOA","86","24","0","110","123","52","0","175","0","4","0","4","1","0","0","1","0","0","0","0","1","0","0","1","9","2","0","11","220","82","0","302"
"7","State","GUJARAT","931","618","0","1549","3450","1805","0","5255","115","70","0","185","37","23","0","60","92","1","0","93","42","10","0","52","37","15","0","52","4704","2542","0","7246"
"8","State","HARYANA","529","189","0","718","1815","434","0","2249","37","23","0","60","7","3","0","10","0","2","0","2","56","19","0","75","360","71","0","431","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","93","48","0","141","196","115","0","311","12","10","0","22","0","5","0","5","12","6","0","18","30","12","0","42","4","0","0","4","347","196","0","543"
"10","State","JAMMU & KASHMIR","50","50","0","100","80","73","0","153","0","0","0","0","0","0","0","0","0","0","0","0","27","17","0","44","45","30","0","75","202","170","0","372"
"11","State","JHARKHAND","142","76","0","218","390","169","0","559","6","11","0","17","3","7","0","10","5","1","0","6","8","1","0","9","13","3","0","16","567","268","0","835"
