"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006"
"","","","Delhi","2013","Diploma","13","5","18"
"","","","Delhi","2013","Graduate","63","32","95"
"","","","Delhi","2013","Post Graduate and Above","7","3","10"
"","","","Delhi","2013","Total","1417","642","2059"
"","","","Lakshadweep","2013","No Education","0","0","0"
"","","","Lakshadweep","2013","Primary","0","0","0"
"","","","Lakshadweep","2013","Middle","1","1","2"
"","","","Lakshadweep","2013","Matriculate/Secondary","0","0","0"
"","","","Lakshadweep","2013","Hr. Secondary/Intermediate/Pre-University","0","0","0"
"","","","Lakshadweep","2013","Diploma","0","1","1"
"","","","Lakshadweep","2013","Graduate","0","0","0"
"","","","Lakshadweep","2013","Post Graduate and Above","0","0","0"
"","","","Lakshadweep","2013","Total","1","2","3"
"","","","Puducherry","2013","No Education","10","4","14"
"","","","Puducherry","2013","Primary","14","3","17"
"","","","Puducherry","2013","Middle","131","28","159"
"","","","Puducherry","2013","Matriculate/Secondary","135","41","176"
"","","","Puducherry","2013","Hr. Secondary/Intermediate/Pre-University","93","55","148"
"","","","Puducherry","2013","Diploma","7","2","9"
"","","","Puducherry","2013","Graduate","14","4","18"
"","","","Puducherry","2013","Post Graduate and Above","4","1","5"
