"Sl. No.","Category","State/UT/City","Bankruptcy or Indebtedness - Male","Bankruptcy or Indebtedness - Female","Bankruptcy or Indebtedness - Transgender","Bankruptcy or Indebtedness - Total","Marriage Related Issues (Total) - Male","Marriage Related Issues (Total) - Female","Marriage Related Issues (Total) - Transgender","Marriage Related Issues (Total) - Total","Marriage Related Issues (Non-Settlement of Marriage) - Male","Marriage Related Issues (Non-Settlement of Marriage) - Female","Marriage Related Issues (Non-Settlement of Marriage) - Transgender","Marriage Related Issues (Non-Settlement of Marriage) - Total","Marriage Related Issues (Dowry Related Issues) - Male","Marriage Related Issues (Dowry Related Issues) - Female","Marriage Related Issues (Dowry Related Issues) - Transgender","Marriage Related Issues (Dowry Related Issues) - Total","Marriage Related Issues (Extra Marital affairs) - Male","Marriage Related Issues (Extra Marital affairs) - Female","Marriage Related Issues (Extra Marital affairs) - Transgender","Marriage Related Issues (Extra Marital affairs) - Total","Marriage Related Issues (Divorce) - Male","Marriage Related Issues (Divorce) - Female","Marriage Related Issues (Divorce) - Transgender","Marriage Related Issues (Divorce) - Total","Marriage Related Issues (Others) - Male","Marriage Related Issues (Others) - Female","Marriage Related Issues (Others) - Transgender","Marriage Related Issues (Others) - Total","Failure in Examination - Male","Failure in Examination - Female","Failure in Examination - Transgender","Failure in Examination - Total","Impotency/Infertility - Male","Impotency/Infertility - Female","Impotency/Infertility - Transgender","Impotency/Infertility - Total","Family Problems - Male","Family Problems - Female","Family Problems - Transgender","Family Problems - Total","Illness (Total) - Male","Illness (Total) - Female","Illness (Total) - Transgender","Illness (Total) - Total","Illness (AIDS/STD) - Male","Illness (AIDS/STD) - Female","Illness (AIDS/STD) - Transgender","Illness (AIDS/STD) - Total","Illness (Cancer) - Male","Illness (Cancer) - Female","Illness (Cancer) - Transgender","Illness (Cancer) - Total","Illness (Paralysis) - Male","Illness (Paralysis) - Female","Illness (Paralysis) - Transgender","Illness (Paralysis) - Total","Illness (Insanity/Mental illness) - Male","Illness (Insanity/Mental illness) - Female","Illness (Insanity/Mental illness) - Transgender","Illness (Insanity/Mental illness) - Total","Illness (Other Prolonged Illness) - Male","Illness (Other Prolonged Illness) - Female","Illness (Other Prolonged Illness) - Transgender","Illness (Other Prolonged Illness) - Total","Death of Dear Person - Male","Death of Dear Person - Female","Death of Dear Person - Transgender","Death of Dear Person - Total","Drug Abuse/Alcoholic Addiction - Male","Drug Abuse/Alcoholic Addiction - Female","Drug Abuse/Alcoholic Addiction - Transgender","Drug Abuse/Alcoholic Addiction - Total","Fall in Social Reputation - Male","Fall in Social Reputation - Female","Fall in Social Reputation - Transgender","Fall in Social Reputation - Total","Ideological Causes/Hero Worshipping - Male","Ideological Causes/Hero Worshipping - Female","Ideological Causes/Hero Worshipping - Transgender","Ideological Causes/Hero Worshipping - Total","Love Affairs - Male","Love Affairs - Female","Love Affairs - Transgender","Love Affairs - Total","Poverty - Male","Poverty - Female","Poverty - Transgender","Poverty - Total","Unemployment - Male","Unemployment - Female","Unemployment - Transgender","Unemployment - Total","Property Dispute - Male","Property Dispute - Female","Property Dispute - Transgender","Property Dispute - Total","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total","Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total","Professional/Career Problem - Male","Professional/Career Problem - Female","Professional/Career Problem - Transgender","Professional/Career Problem - Total","Causes Not Known - Male","Causes Not Known - Female","Causes Not Known - Transgender","Causes Not Known - Total","Other Causes - Male","Other Causes - Female","Other Causes - Transgender","Other Causes - Total","Total - Male","Total - Female","Total - Transgender","Grand Total"
"70","City","MALAPPURAM","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","5","0","6","0","0","0","0","28","13","0","41","4","2","0","6","0","0","0","0","2","1","0","3","0","0","0","0","2","1","0","3","0","0","0","0","1","0","0","1","0","0","0","0","3","1","0","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","39","22","0","61"
"71","City","MEERUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"72","City","MUMBAI","6","0","0","6","9","44","0","53","0","4","0","4","0","13","0","13","0","1","0","1","2","0","0","2","7","26","0","33","28","22","0","50","0","2","0","2","334","236","0","570","165","68","0","233","11","3","0","14","1","0","0","1","1","1","0","2","51","21","0","72","101","43","0","144","4","3","0","7","31","0","0","31","3","1","0","4","0","0","0","0","18","12","0","30","9","4","0","13","86","0","0","86","17","0","0","17","0","0","0","0","0","0","0","0","0","1","0","1","18","0","0","18","0","0","1","1","0","0","0","0","728","393","1","1122"
"73","City","NAGPUR","0","0","0","0","3","6","0","9","0","0","0","0","0","3","0","3","1","0","0","1","1","0","0","1","1","3","0","4","4","9","0","13","0","0","0","0","217","77","0","294","28","15","0","43","1","2","0","3","6","1","0","7","7","4","0","11","5","5","0","10","9","3","0","12","0","1","0","1","50","0","0","50","1","0","0","1","0","0","0","0","13","10","0","23","18","2","0","20","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","2","0","24","361","122","0","483"
"74","City","NASIK","4","2","0","6","8","10","0","18","6","2","0","8","0","2","0","2","0","1","0","1","1","2","0","3","1","3","0","4","5","6","0","11","0","1","0","1","23","37","0","60","50","16","0","66","0","1","0","1","0","2","0","2","1","0","0","1","13","9","0","22","36","4","0","40","4","2","0","6","38","0","0","38","2","0","0","2","0","0","0","0","9","2","0","11","8","0","0","8","7","0","0","7","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","24","1","0","25","5","0","0","5","1","0","0","1","189","77","0","266"
"75","City","PATNA","0","0","0","0","9","4","0","13","5","4","0","9","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","5","10","0","15","0","0","0","0","5","5","0","10","2","1","0","3","0","0","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","5","10","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","30","0","58"
"76","City","PUNE","20","1","0","21","18","9","0","27","5","3","0","8","0","2","0","2","0","0","0","0","9","3","0","12","4","1","0","5","29","14","0","43","0","0","0","0","211","123","0","334","84","46","0","130","2","1","0","3","13","6","0","19","14","0","0","14","28","13","0","41","27","26","0","53","5","2","0","7","42","1","0","43","6","1","0","7","0","0","0","0","19","10","0","29","15","1","0","16","79","4","0","83","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","25","4","0","29","40","14","0","54","42","6","0","48","637","236","0","873"
"77","City","RAIPUR","1","0","0","1","3","4","0","7","1","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","2","2","0","4","1","1","0","2","0","0","0","0","9","9","0","18","33","10","0","43","0","0","0","0","0","1","0","1","0","0","0","0","10","3","0","13","23","6","0","29","2","2","0","4","5","0","0","5","0","0","0","0","1","0","0","1","4","6","0","10","0","1","0","1","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","31","16","0","47","75","18","1","94","171","67","1","239"
"78","City","RAJKOT","0","0","0","0","23","21","0","44","11","8","0","19","4","5","0","9","0","5","0","5","8","3","0","11","0","0","0","0","0","0","0","0","0","0","0","0","49","42","0","91","62","27","0","89","0","0","0","0","35","7","0","42","17","7","0","24","10","13","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","15","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","54","0","158","0","0","0","0","255","159","0","414"
"79","City","RANCHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","City","SRINAGAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","8","3","5","0","8"
"81","City","SURAT","22","1","0","23","16","13","0","29","8","6","0","14","0","0","0","0","0","0","0","0","4","2","0","6","4","5","0","9","9","15","0","24","2","0","0","2","173","97","0","270","77","40","0","117","3","1","0","4","15","5","0","20","5","1","0","6","40","27","0","67","14","6","0","20","5","1","0","6","9","1","0","10","0","1","0","1","0","0","0","0","15","2","0","17","30","1","0","31","17","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","35","44","25","0","69","9","3","0","12","463","200","0","663"
"82","City","THIRUVANANTHAPURAM","5","2","0","7","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","2","0","0","2","0","0","0","0","36","14","0","50","128","39","0","167","0","0","0","0","2","5","0","7","3","1","0","4","94","25","0","119","29","8","0","37","9","4","0","13","24","0","0","24","1","0","0","1","0","0","0","0","6","6","0","12","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","19","4","0","23","0","0","0","0","232","71","0","303"
"83","City","THRISSUR","29","7","0","36","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","2","0","2","0","2","40","19","0","59","56","22","0","78","0","0","0","0","0","0","0","0","0","0","0","0","30","8","0","38","26","14","0","40","2","1","0","3","24","0","0","24","3","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","3","2","0","5","163","54","0","217"
"84","City","TIRUCHIRAPPALLI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","97","44","0","141","27","13","0","40","0","0","0","0","0","0","0","0","0","0","0","0","27","13","0","40","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","126","61","0","187"
"85","City","VADODARA","1","0","0","1","6","9","0","15","0","3","0","3","0","0","0","0","0","0","0","0","3","3","0","6","3","3","0","6","5","6","0","11","0","0","0","0","7","7","0","14","27","11","0","38","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","26","10","0","36","1","1","0","2","1","0","0","1","1","0","0","1","0","0","0","0","4","4","0","8","8","0","0","8","9","0","0","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","73","26","0","99","4","5","0","9","150","69","0","219"
"86","City","VARANASI","1","0","0","1","4","7","0","11","1","0","0","1","2","4","0","6","0","2","0","2","1","1","0","2","0","0","0","0","0","0","0","0","1","0","0","1","21","21","0","42","11","2","0","13","3","0","0","3","3","0","0","3","2","0","0","2","3","2","0","5","0","0","0","0","3","0","0","3","14","2","0","16","0","0","0","0","0","0","0","0","4","1","0","5","3","0","0","3","7","0","0","7","4","0","0","4","1","2","0","3","0","0","0","0","0","1","0","1","3","0","0","3","1","2","0","3","3","2","0","5","81","40","0","121"
"87","City","VASAI VIRAR","2","0","0","2","3","3","0","6","3","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3","0","1","0","1","46","30","0","76","22","13","0","35","0","0","0","0","0","0","0","0","1","0","0","1","8","4","0","12","13","9","0","22","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","19","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","7","7","0","14","10","1","0","11","119","57","0","176"
"88","City","VIJAYAWADA","19","0","0","19","1","1","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","14","0","0","0","0","82","38","0","120","5","3","0","8","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","8","0","0","0","0","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","7","2","0","9","0","0","0","0","3","0","0","3","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","26","2","0","28","69","30","0","99","227","84","0","311"
"89","City","VISHAKHAPATNAM","7","0","0","7","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","5","1","2","0","3","44","9","0","53","30","25","0","55","0","0","0","0","1","0","0","1","0","0","0","0","13","11","0","24","16","14","0","30","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","4","9","0","0","9","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","13","1","0","14","16","4","0","20","127","50","0","177"
