"Sl. No.","Category","State/UT/City","Bankruptcy or Indebtedness - Male","Bankruptcy or Indebtedness - Female","Bankruptcy or Indebtedness - Transgender","Bankruptcy or Indebtedness - Total","Marriage Related Issues (Total) - Male","Marriage Related Issues (Total) - Female","Marriage Related Issues (Total) - Transgender","Marriage Related Issues (Total) - Total","Marriage Related Issues (Non-Settlement of Marriage) - Male","Marriage Related Issues (Non-Settlement of Marriage) - Female","Marriage Related Issues (Non-Settlement of Marriage) - Transgender","Marriage Related Issues (Non-Settlement of Marriage) - Total","Marriage Related Issues (Dowry Related Issues) - Male","Marriage Related Issues (Dowry Related Issues) - Female","Marriage Related Issues (Dowry Related Issues) - Transgender","Marriage Related Issues (Dowry Related Issues) - Total","Marriage Related Issues (Extra Marital affairs) - Male","Marriage Related Issues (Extra Marital affairs) - Female","Marriage Related Issues (Extra Marital affairs) - Transgender","Marriage Related Issues (Extra Marital affairs) - Total","Marriage Related Issues (Divorce) - Male","Marriage Related Issues (Divorce) - Female","Marriage Related Issues (Divorce) - Transgender","Marriage Related Issues (Divorce) - Total","Marriage Related Issues (Others) - Male","Marriage Related Issues (Others) - Female","Marriage Related Issues (Others) - Transgender","Marriage Related Issues (Others) - Total","Failure in Examination - Male","Failure in Examination - Female","Failure in Examination - Transgender","Failure in Examination - Total","Impotency/Infertility - Male","Impotency/Infertility - Female","Impotency/Infertility - Transgender","Impotency/Infertility - Total","Family Problems - Male","Family Problems - Female","Family Problems - Transgender","Family Problems - Total","Illness (Total) - Male","Illness (Total) - Female","Illness (Total) - Transgender","Illness (Total) - Total","Illness (AIDS/STD) - Male","Illness (AIDS/STD) - Female","Illness (AIDS/STD) - Transgender","Illness (AIDS/STD) - Total","Illness (Cancer) - Male","Illness (Cancer) - Female","Illness (Cancer) - Transgender","Illness (Cancer) - Total","Illness (Paralysis) - Male","Illness (Paralysis) - Female","Illness (Paralysis) - Transgender","Illness (Paralysis) - Total","Illness (Insanity/Mental illness) - Male","Illness (Insanity/Mental illness) - Female","Illness (Insanity/Mental illness) - Transgender","Illness (Insanity/Mental illness) - Total","Illness (Other Prolonged Illness) - Male","Illness (Other Prolonged Illness) - Female","Illness (Other Prolonged Illness) - Transgender","Illness (Other Prolonged Illness) - Total","Death of Dear Person - Male","Death of Dear Person - Female","Death of Dear Person - Transgender","Death of Dear Person - Total","Drug Abuse/Alcoholic Addiction - Male","Drug Abuse/Alcoholic Addiction - Female","Drug Abuse/Alcoholic Addiction - Transgender","Drug Abuse/Alcoholic Addiction - Total","Fall in Social Reputation - Male","Fall in Social Reputation - Female","Fall in Social Reputation - Transgender","Fall in Social Reputation - Total","Ideological Causes/Hero Worshipping - Male","Ideological Causes/Hero Worshipping - Female","Ideological Causes/Hero Worshipping - Transgender","Ideological Causes/Hero Worshipping - Total","Love Affairs - Male","Love Affairs - Female","Love Affairs - Transgender","Love Affairs - Total","Poverty - Male","Poverty - Female","Poverty - Transgender","Poverty - Total","Unemployment - Male","Unemployment - Female","Unemployment - Transgender","Unemployment - Total","Property Dispute - Male","Property Dispute - Female","Property Dispute - Transgender","Property Dispute - Total","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total","Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total","Professional/Career Problem - Male","Professional/Career Problem - Female","Professional/Career Problem - Transgender","Professional/Career Problem - Total","Causes Not Known - Male","Causes Not Known - Female","Causes Not Known - Transgender","Causes Not Known - Total","Other Causes - Male","Other Causes - Female","Other Causes - Transgender","Other Causes - Total","Total - Male","Total - Female","Total - Transgender","Grand Total"
"60","City","KANNUR","0","0","0","0","2","1","0","3","0","0","0","0","0","0","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","23","0","107","27","11","0","38","0","0","0","0","0","0","0","0","0","0","0","0","6","5","0","11","21","6","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","37","0","151"
"61","City","KANPUR","1","0","0","1","1","33","0","34","0","4","0","4","0","25","0","25","1","1","0","2","0","1","0","1","0","2","0","2","3","5","0","8","3","0","0","3","85","43","0","128","9","2","0","11","4","0","0","4","1","0","0","1","0","0","0","0","4","2","0","6","0","0","0","0","1","1","0","2","6","2","0","8","1","0","0","1","1","0","0","1","5","3","0","8","2","0","0","2","7","2","0","9","1","0","0","1","1","3","0","4","0","0","0","0","0","0","0","0","1","1","0","2","13","9","0","22","13","9","0","22","154","113","0","267"
"62","City","KOCHI","0","0","0","0","4","1","0","5","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","3","0","0","3","0","2","0","2","2","0","0","2","58","15","0","73","45","21","0","66","0","0","0","0","1","0","0","1","0","0","0","0","21","14","0","35","23","7","0","30","2","0","0","2","5","0","0","5","0","0","0","0","0","0","0","0","2","1","0","3","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","4","1","0","5","61","5","0","66","187","48","0","235"
"63","City","KOLKATA","0","0","0","0","41","18","0","59","15","7","0","22","0","0","0","0","26","11","0","37","0","0","0","0","0","0","0","0","2","4","0","6","0","0","0","0","4","7","0","11","94","21","0","115","0","0","0","0","13","6","0","19","0","0","0","0","81","15","0","96","0","0","0","0","0","0","0","0","31","1","0","32","6","0","0","6","0","0","0","0","12","18","0","30","0","0","0","0","0","6","0","6","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","32","16","0","48","0","0","0","0","8","9","0","17","230","109","0","339"
"64","City","KOLLAM","16","2","0","18","9","4","0","13","0","0","0","0","0","0","0","0","5","2","0","7","4","2","0","6","0","0","0","0","5","1","0","6","0","0","0","0","19","2","0","21","174","37","0","211","0","0","0","0","28","6","0","34","23","3","0","26","63","16","0","79","60","12","0","72","3","1","0","4","37","0","0","37","2","0","0","2","0","0","0","0","6","2","0","8","0","0","0","0","14","1","0","15","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","4","0","21","0","0","0","0","307","54","0","361"
"65","City","KOTA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","5","0","17","0","0","0","0","26","9","0","35","8","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","7","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","12","0","34","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","9","0","0","0","0","74","31","0","105"
"66","City","KOZHIKODE","0","0","0","0","2","4","0","6","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","2","0","4","1","1","0","2","0","0","0","0","15","16","0","31","63","33","0","96","0","0","0","0","3","1","0","4","0","0","0","0","41","18","0","59","19","14","0","33","3","0","0","3","6","0","0","6","2","0","0","2","0","0","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","8","6","0","14","36","6","0","42","139","68","0","207"
"67","City","LUCKNOW","0","0","0","0","1","13","0","14","0","1","0","1","0","6","0","6","0","2","0","2","1","4","0","5","0","0","0","0","2","2","0","4","0","0","0","0","88","57","0","145","6","1","0","7","0","0","0","0","3","1","0","4","1","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","8","0","0","8","1","0","0","1","1","0","0","1","5","2","0","7","1","0","0","1","15","0","0","15","3","0","0","3","2","0","0","2","0","1","0","1","0","0","0","0","4","0","0","4","14","5","0","19","14","4","0","18","165","85","0","250"
"68","City","LUDHIANA","1","0","0","1","2","2","0","4","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","8","5","2","0","7","15","2","0","17","48","20","0","68","0","0","0","0","0","0","0","0","0","0","0","0","43","18","0","61","5","2","0","7","0","0","0","0","5","0","0","5","1","0","0","1","0","0","0","0","1","0","0","1","0","2","0","2","2","0","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","1","0","0","1","2","0","0","2","92","34","0","126"
"69","City","MADURAI","18","4","0","22","9","1","0","10","9","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","0","12","0","0","0","0","46","42","0","88","49","37","0","86","0","0","0","0","0","4","0","4","0","0","0","0","10","13","0","23","39","20","0","59","0","0","0","0","32","0","0","32","0","0","0","0","0","0","0","0","2","2","0","4","0","0","0","0","16","5","0","21","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","9","8","0","17","0","0","0","0","0","0","0","0","190","104","0","294"
