gender,Diploma,Graduate,Hr. Secondary/Intermediate/Pre-Universit,Matriculate/Secondary,Middle,No Education,Post Graduate and Above,Primary
Male,10419,21590,79502,174626,225208,188815,5271,226487
Female,3734,9684,39406,81940,117763,132942,2204,136340
